"Ion","Pval_no_batch_correction","FDR_Pval_no_batch_correction","Pval_with_batch_correction","FDR_Pval_with_batch_correction"
"1020.369159",0.223279584656895,0.287234038553593,0.978794806131124,0.999959397790101
"1027.379944",0.0470948314679334,0.0751243652821774,0.966996898483971,0.999959397790101
"1027.711611",0.11494800372867,0.164021228847796,0.973400658524479,0.999959397790101
"1041.718825",0.222150694100683,0.2865016508301,0.978637662785008,0.999959397790101
"1062.379749",0.757176302452919,0.800979890198129,0.992692580197779,0.999959397790101
"1069.725688",0.0551214812016235,0.0857817579794263,0.96798919466242,0.999959397790101
"1083.728053",0.00294783698402572,0.00598925609452845,0.951309435612213,0.999959397790101
"116.0720216",4.47476497926727e-12,2.10190795356408e-11,0.892241532963198,0.999959397790101
"128.1080146",0.0941848437578977,0.138173753593248,0.976877416148332,0.999959397790101
"129.0023331",1.78713400072653e-11,7.75434413874563e-11,0.890936784279626,0.999959397790101
"136.0632836",1.2394116696787e-06,3.96611734297184e-06,0.921404199199356,0.999959397790101
"137.0476093",0.0486742196525778,0.076917285376913,0.967079285719639,0.999959397790101
"144.0692417",1.13999567058241e-07,3.97059716556594e-07,0.914539667085444,0.999959397790101
"144.0819553",0.876773456482947,0.901968020865465,0.995055819339252,0.999959397790101
"152.0582037",0.176997083133518,0.237519867713298,0.981689617481871,0.999959397790101
"152.1075112",3.79669123734497e-06,1.15024018551516e-05,0.92501393177749,0.999959397790101
"162.0769342",0.000417906176403437,0.000977022658988858,0.947647418233682,0.999959397790101
"167.1142098",0.177212088801718,0.237519867713298,0.981754637428951,0.999959397790101
"168.1210535",6.79902040102611e-05,0.000179438064192029,0.940792912732941,0.999959397790101
"171.1022617",1.00924988144249e-10,4.20110519754921e-10,0.896336703419577,0.999959397790101
"172.0973658",0.985192569040733,0.989056069311481,0.99773392602223,0.999959397790101
"174.1208759",0.603567453246873,0.664573195833116,0.994611163852556,0.999959397790101
"176.0931377",0.134409752707784,0.187514423396146,0.979520678938788,0.999959397790101
"176.1186786",0.581002588760244,0.646681142272271,0.994069606421669,0.999959397790101
